timestamp,unit_id,unit_type,empire_or_resistance,location_x,location_y,destination_x,destination_y,homeworld
2025-03-17 15:02:52,1,at-at,empire,4,3,7,2,Skako
2025-03-17 15:02:51,2,at-at,resistance,9,2,6,8,Cerea
2025-03-17 15:02:50,3,tie_fighter,empire,4,2,5,5,Mirial
2025-03-17 15:02:49,4,at-at,resistance,6,2,1,1,Kalee
2025-03-17 15:02:48,5,tie_silencer,resistance,6,5,4,1,Alderaan
2025-03-17 15:02:47,6,resistance_soldier,resistance,6,4,4,4,Aleen Minor
2025-03-17 15:02:46,7,tie_fighter,resistance,8,8,3,1,Zolan
2025-03-17 15:02:45,8,unknown,empire,5,8,10,7,Kalee
2025-03-17 15:02:44,9,resistance_soldier,empire,10,1,9,2,Muunilinst
2025-03-17 15:02:43,10,resistance_soldier,resistance,10,4,7,9,Socorro
2025-03-17 15:02:42,11,x-wing,empire,5,5,7,4,Kashyyyk
2025-03-17 15:02:41,12,tie_fighter,resistance,7,1,2,4,Iktotch
2025-03-17 15:02:40,13,tie_silencer,resistance,4,10,1,2,Ryloth
2025-03-17 15:02:39,14,tie_fighter,resistance,3,10,9,4,Quermia
2025-03-17 15:02:38,15,at-at,empire,3,3,8,7,Serenno
2025-03-17 15:02:37,16,tie_fighter,empire,2,2,9,5,Zolan
2025-03-17 15:02:36,17,x-wing,empire,6,5,10,7,Trandosha
2025-03-17 15:02:35,18,at-st,empire,6,7,8,5,Corellia
2025-03-17 15:02:34,19,at-st,empire,6,7,9,5,Ojom
2025-03-17 15:02:33,20,at-at,empire,8,2,5,8,Corellia
2025-03-17 15:02:32,21,at-at,empire,4,3,10,10,Dorin
2025-03-17 15:02:31,22,x-wing,resistance,10,5,8,5,Vulpter
2025-03-17 15:02:30,23,stormtrooper,resistance,4,5,2,5,Umbara
2025-03-17 15:02:29,24,tie_silencer,empire,3,4,5,6,Concord Dawn
2025-03-17 15:02:28,25,at-at,empire,5,10,2,7,Glee Anselm
2025-03-17 15:02:27,26,stormtrooper,resistance,1,9,10,1,Malastare
2025-03-17 15:02:26,27,at-st,resistance,7,4,1,1,Zolan
2025-03-17 15:02:25,28,stormtrooper,resistance,6,10,9,1,Alderaan
2025-03-17 15:02:24,29,tie_silencer,empire,7,1,1,1,Skako
2025-03-17 15:02:23,30,resistance_soldier,resistance,4,1,2,8,Glee Anselm
2025-03-17 15:02:22,31,resistance_soldier,empire,1,4,9,6,Vulpter
